Patient,FN + FB,T cell,Vim+ FB,aSMA+ FB,endothelial,mixed FB,quies mix str,quies str
1,0.956266318537859,0.0,0.0,0.0,0.0,0.038511749347258484,0.005221932114882507,0.0
10,0.6065306122448979,0.0,0.16979591836734695,0.0032653061224489797,0.0008163265306122449,0.0,0.21061224489795918,0.008979591836734694
100,0.0019569471624266144,0.03457273320287019,0.007827788649706457,0.005870841487279843,0.007175472928897586,0.0,0.5792563600782779,0.3633398564905414
101,0.0007710100231303007,0.001156515034695451,0.005397070161912105,0.0065535851966075555,0.0007710100231303007,0.0007710100231303007,0.25057825751734775,0.7340015420200463
104,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.0
106,0.004,0.0,0.0,0.016,0.0,0.026,0.442,0.512
108,0.004286185295087373,0.0,0.010880316518298714,0.6640290141773821,0.012858555885262116,0.30695680844048795,0.0009891196834817012,0.0
109,0.2175925925925926,0.0,0.5432098765432098,0.0,0.0,0.047839506172839504,0.15895061728395063,0.032407407407407406
11,0.0,0.10531594784353059,0.0005015045135406219,0.004012036108324975,0.016549648946840523,0.0,0.2933801404212638,0.5802407221664995
112,0.0,0.0015278838808250573,0.0007639419404125286,0.0962566844919786,0.0,0.1703590527119939,0.33613445378151263,0.3949579831932773
113,0.0,0.0,0.0,0.0,0.0,0.0,0.027531083481349913,0.9724689165186501
117,0.0003056234718826406,0.0,0.001528117359413203,0.014364303178484108,0.017726161369193152,0.0,0.18367970660146699,0.78239608801956
118,0.2327831531018782,0.0,0.6283437677859989,0.02105862265224815,0.02333523050654525,0.064314171883893,0.03016505406943654,0.0
119,0.005012531328320802,0.0,0.0,0.0,0.0,0.0,0.3208020050125313,0.6741854636591479
120,0.0,0.0,0.0,0.10258199581297976,0.0,0.0,0.09211444521981857,0.8053035589672016
122,0.5343953656770456,0.0,0.23750905141202028,0.00941346850108617,0.0,0.010861694424330196,0.15713251267197684,0.05068790731354091
125,0.5476190476190477,0.0,0.2396825396825397,0.012698412698412698,0.022222222222222223,0.0380952380952381,0.13968253968253969,0.0
13,0.7552804078659869,0.0,0.0,0.0,0.0,0.021849963583394028,0.14056809905316825,0.08230152949745084
130,0.039647577092511016,0.0,0.049926578560939794,0.0,0.0,0.011747430249632892,0.37151248164464024,0.527165932452276
131,0.26727509778357234,0.0,0.4758800521512386,0.010430247718383311,0.17861799217731422,0.03911342894393742,0.028683181225554105,0.0
136,0.0,0.009818731117824773,0.08987915407854985,0.16540785498489427,0.0,0.0,0.4206948640483384,0.31419939577039274
138,0.0,0.0,0.0006891798759476223,0.006891798759476223,0.0,0.0,0.11578221915920055,0.8766368022053757
144,0.043626448534423996,0.47171097477845947,0.007498295841854124,0.0013633265167007499,0.012951601908657124,0.006134969325153374,0.4096796182685753,0.04703476482617587
148,0.0,0.0,0.0,0.00234192037470726,0.0,0.0,0.06791569086651054,0.9297423887587822
150,0.968421052631579,0.031578947368421054,0.0,0.0,0.0,0.0,0.0,0.0
153,0.5689655172413793,0.0,0.3275862068965517,0.0,0.0,0.017241379310344827,0.08620689655172414,0.0
154,0.03690036900369004,0.0,0.01107011070110701,0.007380073800738007,0.0,0.007380073800738007,0.4870848708487085,0.45018450184501846
156,0.0,0.0,0.0,0.5510204081632653,0.0,0.0,0.40816326530612246,0.04081632653061224
157,0.5263157894736842,0.03007518796992481,0.12781954887218044,0.022556390977443608,0.0,0.07518796992481203,0.18045112781954886,0.03759398496240601
159,0.011570247933884297,0.001652892561983471,0.006611570247933884,0.17851239669421487,0.0,0.01818181818181818,0.3702479338842975,0.4132231404958678
16,0.07317073170731707,0.0,0.056910569105691054,0.0,0.0,0.0,0.5447154471544715,0.3252032520325203
160,0.053899809765377296,0.0,0.0050729232720355105,0.019023462270133164,0.0012682308180088776,0.09004438807863031,0.5389980976537729,0.29169308814204187
161,0.0,0.0011876484560570072,0.44002375296912116,0.04809976247030879,0.0,0.0005938242280285036,0.5065320665083135,0.0035629453681710215
165,0.5384615384615384,0.03296703296703297,0.21611721611721613,0.018315018315018316,0.09523809523809523,0.05860805860805861,0.040293040293040296,0.0
169,0.015444015444015444,0.001654715940430226,0.001654715940430226,0.10590182018753447,0.0005515719801434088,0.024820739106453393,0.21290678433535576,0.637065637065637
17,0.04915794264906691,0.0,0.6700045516613564,0.05826126536185708,0.06326809285389166,0.1406463359126081,0.018661811561219845,0.0
170,0.9706546275395034,0.001128668171557562,0.0056433408577878106,0.002257336343115124,0.016930022573363433,0.0,0.003386004514672686,0.0
174,0.0007659900421294523,0.009574875526618154,0.0019149751053236309,0.0995787054768288,0.004212945231711987,0.023745691306013023,0.33358866334737647,0.5266181539639985
18,0.0,0.0,0.0,0.0,0.0,0.0,0.048366013071895426,0.9516339869281045
180,0.2510822510822511,0.025974025974025976,0.07532467532467532,0.006060606060606061,0.5532467532467532,0.02857142857142857,0.05974025974025974,0.0
182,0.062120189061444966,0.0,0.07292370020256583,0.0054017555705604325,0.0,0.02025658338960162,0.5158676569885212,0.3234301147873059
183,0.0,0.0,0.0,0.0,0.0,0.0,0.295169946332737,0.7048300536672629
186,0.0,0.7759092686742276,0.005866249511145874,0.00039108330074305825,0.0,0.0,0.05044974579585452,0.16738365271802894
188,0.47752808988764045,0.0,0.3202247191011236,0.0028089887640449437,0.0,0.0898876404494382,0.10955056179775281,0.0
